meshblock_id,liveability_score,social_infrastructure_index,social_infrastructure_culture_and_leisure,social_infrastructure_community_and_sport,social_infrastructure_education,social_infrastructure_health_services,social_infrastructure_closest_gp,social_infrastructure_closest_gp_bulk_bill,social_infrastructure_closest_playground,delwp_social_infrastructure_index,delwp_primary_schools_within_1400m,delwp_secondary_schools_within_2600m,delwp_closest_primary_school,delwp_closest_secondary_school,walkability_closest_activity_centre,walkability_dwelling_density,walkability_street_connectivity,walkability_daily_living_score,walkability_index,transport_closest_pt,transport_percent_dwellings_400m_bus,transport_percent_dwellings_400m_regular_pt,transport_closest_train,transport_closest_bus_with_15_min_service,transport_closest_bus_with_30_min_service,transport_closest_bus_with_45_min_service,pos_closest,pos_percent_within_400m,pos_closest_large,pos_percent_400m_large,pos_percent_400m_local_park,pos_percent_400m_neighbourhood_park,pos_percent_400m_neighbourhood_rec_park,pos_closest_with_toilet,alcohol_closest_on_licence,alcohol_closest_off_licence,alcohol_number_on_licences_400m,alcohol_number_off_licences_800m,food_percent_dwellings_no_food_3200m,food_percent_dwellings_1000m_supermarket,food_closest_healthy_food,food_closest_fast_food,employment_percent_working_locally
20448251000.0,102.473273195209,7.18897637795276,1.17322834645669,0.0,3.01574803149606,3.0,381.251968503937,381.755905511811,676.472440944882,7.18897637795276,100.0,100.0,929.102362204724,1311.1968503937,235.283464566929,6201.4779307244,212.968503937008,1.9966325804424,0.851390007538262,66.8188976377953,100.0,100.0,2804.12598425197,71.5590551181103,71.5590551181103,71.5590551181103,415.503937007874,30.7086614173228,617.291338582677,0.0,0.0,0.0,0.0,1718.47244094488,41.2992125984252,39.1102362204724,19.259842519685,30.1811023622047,0.0,100.0,235.283464566929,169.488188976378,19.0972222222222
20448750000.0,102.542239326614,11.0,2.0,0.0,4.0,5.0,338.054054054054,375.351351351351,259.351351351351,11.0,100.0,100.0,908.540540540541,1163.81081081081,558.027027027027,8431.42530251473,330.945945945946,2.77486469042923,3.2345404292447,308.27027027027,62.1621621621621,86.4864864864865,1238.45945945946,446.324324324324,387.972972972973,387.972972972973,124.918918918919,100.0,568.513513513514,0.0,0.0,100.0,100.0,124.918918918919,237.837837837838,237.837837837838,5.81081081081081,14.1351351351351,0.0,100.0,558.027027027027,418.648648648648,15.1515151515152
20448910000.0,102.963611236008,7.22641509433962,0.0,0.0,3.0188679245283,4.20754716981132,681.22641509434,1641.98113207547,315.33962264151,7.22641509433962,100.0,100.0,884.566037735849,573.018867924528,727.566037735849,5941.81726992166,270.716981132075,1.69742388240617,0.865830686785964,211.924528301887,100.0,100.0,2338.8679245283,211.924528301887,211.924528301887,211.924528301887,177.962264150943,100.0,544.962264150943,1.88679245283019,0.0,94.3396226415094,96.2264150943396,1390.8679245283,525.452830188679,569.641509433962,0.0188679245283019,2.26415094339623,0.0,100.0,727.566037735849,1549.98113207547,25.8566978193146
20448940000.0,101.001736516978,6.0,1.0,0.0,2.54716981132075,2.45283018867925,965.641509433963,965.641509433963,572.132075471698,7.0,100.0,100.0,906.396226415094,1939.15094339623,822.037735849057,5721.66478110975,208.132075471698,2.31831454994605,1.10356956383803,176.867924528302,100.0,100.0,1804.32075471698,176.867924528302,176.867924528302,176.867924528302,325.811320754717,79.2452830188679,576.377358490566,1.88679245283019,79.2452830188679,39.622641509434,79.2452830188679,576.377358490566,410.509433962264,755.377358490566,0.452830188679246,1.71698113207547,0.0,98.1132075471698,822.037735849057,354.150943396226,21.2121212121212
20449060000.0,105.152325287613,11.0,2.0,0.0,4.0,5.0,322.531914893617,375.446808510638,231.957446808511,11.0,100.0,100.0,835.148936170213,1259.25531914894,469.829787234042,8466.29971009821,328.31914893617,2.84060922608856,3.30381178738664,249.510638297872,100.0,100.0,1211.23404255319,418.978723404255,323.425531914894,323.425531914894,143.021276595745,100.0,480.234042553192,17.0212765957447,0.0,100.0,100.0,145.659574468085,210.553191489362,200.297872340426,9.34042553191489,14.5744680851064,0.0,100.0,469.829787234042,389.978723404255,15.1515151515152
20449080000.0,101.82046357711,8.0,0.09375,0.0,3.59375,4.3125,736.59375,736.9375,528.40625,8.0,100.0,100.0,802.28125,558.25,1147.96875,8153.86717518819,302.65625,1.44847416906537,1.30812935050573,482.53125,15.625,15.625,1899.34375,482.53125,482.53125,482.53125,439.1875,34.375,452.59375,34.375,0.0,0.0,34.375,662.0625,590.25,634.75,0.0,2.25,0.0,0.0,1147.96875,744.03125,29.5180722891566
20449100000.0,102.566653334616,11.2857142857143,2.0,0.0,4.0,5.28571428571429,792.163265306122,792.163265306122,945.673469387755,11.2244897959184,93.8775510204082,100.0,1258.85714285714,510.367346938776,991.938775510204,7734.14858446862,344.612244897959,2.06103766357259,2.29525097535772,302.34693877551,100.0,100.0,1421.28571428571,302.34693877551,302.34693877551,302.34693877551,756.959183673469,0.0,947.020408163265,0.0,0.0,0.0,0.0,771.530612244898,550.612244897959,550.612244897959,0.0,3.10204081632653,0.0,65.3061224489796,991.938775510204,1301.10204081633,21.8543046357616
20449130000.0,101.278864073788,7.86792452830189,0.867924528301887,0.0,4.0,3.0,676.77358490566,676.924528301887,392.660377358491,7.86792452830189,100.0,100.0,1156.24528301887,961.641509433962,453.792452830189,6167.00994787552,204.811320754717,1.80692672217419,0.545393248722302,254.490566037736,100.0,100.0,2818.39622641509,254.490566037736,254.490566037736,254.490566037736,258.132075471698,100.0,268.018867924528,96.2264150943396,0.0,0.0,96.2264150943396,1752.92452830189,406.22641509434,354.0,2.79245283018868,25.0,0.0,100.0,453.792452830189,483.415094339623,20.2127659574468
20449560000.0,101.123258571159,8.0,1.0,0.0,4.0,3.0,588.58,588.58,244.08,8.0,100.0,100.0,1229.96,1025.54,432.76,6075.52150038423,204.6,1.92529145608782,0.669685353536879,103.58,100.0,100.0,2882.32,103.58,103.58,103.58,202.44,100.0,331.74,92.0,0.0,0.0,92.0,1803.88,480.86,280.38,0.3,24.36,0.0,100.0,432.76,527.92,20.2127659574468
20449570000.0,102.430750893624,7.19354838709677,0.193548387096774,0.0,4.0,3.0,539.112903225807,815.435483870968,192.129032258065,7.0,80.6451612903226,100.0,1311.53225806452,870.677419354839,657.225806451613,6045.36756515174,215.258064516129,1.78015584775841,0.564887361573623,134.258064516129,100.0,100.0,2924.85483870968,134.258064516129,134.258064516129,134.258064516129,144.403225806452,100.0,345.806451612903,66.1290322580645,0.0,0.0,66.1290322580645,1630.45161290323,568.145161290323,191.209677419355,0.0645161290322581,12.5967741935484,0.0,100.0,657.225806451613,751.661290322581,19.1740412979351
